,id,commonName,borough,latitude,longitude,NbBikes,EmptyDocks,NbDocks
78,BikePoints_168,Argyll Road, Kensington,51.500401,-0.195455,13,6,19
79,BikePoints_433,Wren Street, Holborn,51.524564,-0.116279,6,26,32
80,BikePoints_435,Kennington Station, Kennington,51.488852,-0.105593,13,7,20
81,BikePoints_436,Red Lion Street, Holborn,51.51824,-0.11655,15,32,47
82,BikePoints_437,Vauxhall Walk, Vauxhall,51.488124,-0.120903,25,1,26
83,BikePoints_439,Killick Street, King's Cross,51.5338,-0.118677,4,18,22
84,BikePoints_440,Kennington Oval, Oval,51.483145,-0.113134,30,2,32
85,BikePoints_441,Sail Street, Vauxhall,51.495656,-0.114605,21,0,21
86,BikePoints_442,Walmer Road, Avondale,51.510101,-0.211358,8,11,19
87,BikePoints_443,Philpot Street, Whitechapel,51.515256,-0.058641,13,14,27
88,BikePoints_444,Bethnal Green Garden, Bethnal Green,51.52568,-0.055312,10,13,23
89,BikePoints_445,Cheshire Street, Bethnal Green,51.52388,-0.065076,5,20,25
90,BikePoints_446,York Hall, Bethnal Green,51.528936,-0.055894,4,23,27
91,BikePoints_447,Jubilee Crescent, Cubitt Town,51.493381,-0.007542,21,31,52
92,BikePoints_448,Fisherman's Walk West, Canary Wharf,51.50623,-0.02296,14,19,33
93,BikePoints_449,Shadwell Station, Shadwell,51.511088,-0.057159,8,17,25
94,BikePoints_450,Jubilee Street, Stepney,51.515975,-0.053177,10,18,28
95,BikePoints_451,Hermitage Court, Wapping,51.504719,-0.063531,1,8,9
96,BikePoints_452,St. Katharine's Way, Tower,51.505697,-0.070542,4,16,20
97,BikePoints_453,Garnet Street, Shadwell,51.508447,-0.055167,10,14,24
98,BikePoints_454,Napier Avenue, Millwall,51.487679,-0.021582,7,13,20
99,BikePoints_455,East Ferry Road, Cubitt Town,51.49447,-0.014409,13,3,16
100,BikePoints_456,Parkway, Camden Town,51.538071,-0.144664,21,12,33
101,BikePoints_457,Castlehaven Road, Camden Town,51.542138,-0.145393,5,18,23
